time,x,y,z,u,v,w,phi,theta,psi,p,q,r,Fx,Fy,Fz,l,m,n
9.23,291.015593435763,-20.78266470843288,-4949.826892048853,52.49677777355341,9.69054853559783,-5.156668401484095,-0.030564115068559827,0.4470359313500163,-0.45993087977507185,-4.306243557399291,0.157246863038442,-2.261776843520277,27.248340120382323,-164.3286298388668,437.8308427673135,-161.94977240777447,9.114934710356414,89.67301659166415
9.24,291.46822829913884,-20.886490918339728,-4950.094992299115,52.31977632255408,10.925186036395592,-4.317495987682142,-0.08131828120944506,0.44925483077000417,-0.47700021518683355,-5.075416614088534,0.2218899419987974,-1.7069335411761686,37.475275739313645,-192.25927962353606,373.25668112253936,-70.17865246806407,-0.15831608094828895,106.57374312151131
9.25,291.9220241635576,-20.99128998842956,-4950.360706295913,52.18767696283035,11.838609323691186,-3.3864878559698144,-0.13361473418497427,0.4512333306837393,-0.48759989851280405,-5.229645297552916,0.19784999137352305,-1.059968332597026,49.28683740699154,-218.64857530324025,286.4588134815107,-20.573224816535582,-8.087264521378316,115.25623103219479
9.26,292.3763609882552,-21.097433078566926,-4950.625025673331,52.122805654625054,12.350620074372127,-2.4911254200397384,-0.18396656154638613,0.45207924077400374,-0.4913102405769796,-5.035182736141185,0.0845910090264521,-0.37103420641757023,59.30543928629015,-240.08974171052182,190.2910303458967,7.749805790726686,-14.89076225746267,118.50300916982091
9.27,292.8307500501942,-21.205482843428708,-4950.88860515492,52.13898011965987,12.437724751135395,-1.735770494381676,-0.23026924540929294,0.4511057837274537,-0.4880414113773832,-4.630268386290673,-0.09734570465501731,0.32688291995962415,65.8814442951365,-254.89362650994946,98.32617149382011,25.02146369121759,-19.37075955004444,117.7684193930379
9.28,293.2849110302273,-21.316184621199955,-4951.151660719287,52.24084201579335,12.109079046487176,-1.1906819198042116,-0.27115862844674843,0.44794973704143537,-0.47793383723723837,-4.088938303745545,-0.31560466860183367,1.0107574140144937,69.18427594031158,-262.44142810140454,21.937954554135715,36.325160379937195,-20.79731392863963,113.93392316169648
9.290000000000001,293.7388326900801,-21.430395755013436,-4951.413935495823,52.42355781301782,11.390860300032193,-0.8888394831991147,-0.3056953787136285,0.4426188121544783,-0.4612954832515044,-3.4536750266880163,-0.5330924886957318,1.6638353985734025,70.48825379236413,-262.76449290454104,-31.257378282669976,44.154843803218384,-18.93684867236383,107.61631996186654
9.3,294.19280001346056,-21.548963734945236,-4951.674725645523,52.673047557688655,10.316351412213457,-0.827612198365373,-0.33320919667646876,0.4354835228534788,-0.43855861440770827,-2.751381796284022,-0.7135289300999541,2.273686884379631,71.17320685018709,-256.2612832920179,-57.980960031640066,49.7763346020745,-14.007559119733282,99.31151108496238
9.31,294.64737521764977,-21.672578972868823,-4951.932959101063,52.96718156878636,8.920142665432259,-0.9733140267493723,-0.35321810024856215,0.42722697766611906,-0.4102483424017511,-2.000890357209344,-0.825654518735974,2.8310272005956967,72.02550801167285,-243.49527865150037,-59.07727154000543,53.90448690915673,-6.589045382938197,89.44613563753367
9.32,295.1033324738183,-21.801636730367836,-4952.18731855208,53.2781160176533,7.235504325437805,-1.2674289797637912,-0.3653818068235526,0.41876582627902836,-0.37695969145742714,-1.2163706574990432,-0.8461151387090674,3.328865094432384,73.08289441195758,-225.0577657897749,-38.79842932525679,57.01355418017567,2.4927589483169514,78.38874081654106
